obsj,excessj,claimj,censorj
1,100,182,0
2,100,184,0
3,250,296,0
4,250,331,0
5,250,381,0
6,100,401,0
7,250,491,0
8,250,495,0
9,250,505,0
10,500,514,0
11,100,547,0
12,250,553,0
13,500,601,0
14,250,616,0
15,500,653,0
16,250,674,0
17,250,685,0
18,250,693,0
19,500,708,0
20,100,771,0
21,100,793,0
22,250,825,0
23,500,840,0
24,100,872,0
25,250,885,0
26,250,913,0
27,250,927,0
28,250,929,0
29,250,931,0
30,100,960,0
31,250,974,0
32,250,1016,0
33,100,1044,0
34,250,1060,0
35,500,1064,0
36,100,1100,1
37,100,1100,1
38,100,1100,1
39,100,1100,1
40,100,1100,1
41,100,1100,1
42,100,1100,1
43,250,1105,0
44,500,1122,0
45,500,1131,0
46,100,1141,0
47,100,1148,0
48,500,1156,0
49,250,1178,0
50,500,1200,0
51,500,1213,0
52,250,1215,0
53,500,1240,0
54,250,1250,1
55,250,1250,1
56,250,1259,0
57,250,1294,0
58,100,1301,0
59,500,1372,0
60,100,1383,0
61,100,1409,0
62,250,1434,0
63,250,1441,0
64,100,1495,0
65,500,1500,1
66,500,1500,1
67,500,1500,1
68,500,1500,1
69,500,1500,1
70,500,1500,1
71,500,1500,1
72,100,1556,0
73,250,1564,0
74,250,1614,0
75,250,1647,0
76,250,1737,0
77,100,1744,0
78,100,1751,0
79,500,1768,0
80,500,1807,0
81,250,1811,0
82,250,2031,0
83,500,2080,0
84,500,2263,0
85,250,2275,0
86,500,2671,0
87,500,2752,0
88,250,2880,0
89,100,3100,1
90,100,3100,1
91,100,3100,1
92,100,3100,1
93,250,3250,1
94,250,3250,1
95,500,3469,0
96,500,3500,1
97,500,3500,1
98,250,4254,0
99,100,4510,0
100,500,5500,1
